Country;Country_Code;Year;Fertility_Rate;Urban_Population_Percent;Total_Population;Water_Access_Percent;Unemployment_Rate;Sanitary_Expense_Per_GDP;Life_Expectancy;Life_Expectancy_Female;Life_Expectancy_Male;Infant_Deaths;GDP_Per_Capita;Hospital_Beds_Per_1000;Female_Population;Male_Population;Alcohol_Consumption_Per_Capita;Immunization_Rate;Sanitary_Expense_Per_Capita;CO2_Exposure_Percent;Air_Pollution;Labour_Force_Total;Tuberculosis_Per_100000;Suicide_Rate_Percent;Obesity_Rate_Percent;Underweight_Rate_Percent;Overweight_Rate_Percent;Safe_Water_Access_Percent
Albania;ALB;2021;1,39;62,969;2811666;70,70579506;12,473;7,26731825;76,463;79,173;74,087;247;6377,203096;;1407212;1404454;;98;464,7428589;;;1382433;15;;22,36;0,71;57,27;94,09
Armenia;ARM;2021;1,575;63,431;2790974;82,54877772;10,012;12,34;72,043;77,35;66,554;330;4972,783204;;1534475;1256498;;93;613;;;1393091;25;;19,23;3,15;50,59;100
Austria;AUT;2021;1,48;58,995;8955797;98,89854282;6,459;12,1;81,1902439;83,7;78,8;228;53517,89045;;4548093;4407703;;86;6505;;;4688653;5;;14,2;1,17;33,46;100
Azerbaijan;AZE;2021;1,52;56,776;10137750;71,14634824;6,04;4,7;69,366;73,287;65,646;2173;5408,045352;;5135000;5002750;;89;249;;;5263181;62;;18,52;1,9;58,39;100
Belarus;BLR;2021;1,483;79,91;9302585;93,01940273;3,9;6,57;72,37068293;77,697;67,298;184;7489,718947;;5014609;4287977;;98;468;;;5014861;28;;21,82;1,07;50,08;98,14
Belgium;BEL;2021;1,6;98,117;11586195;99,73113433;6,264;11,04290771;81,7902439;84,3;79,4;362;51863,83116;5,48;5863808;5722387;;98;5680,231445;;;5259744;8,1;;21,04;1,42;46,57;100
Bosnia and Herzegovina;BIH;2021;1,35;49,425;3270943;87,5547838;14,897;9,56;75,3;77,53;73,108;150;7237,274463;;1660775;1610168;;76;692;;;1387825;25;;23,71;1,11;46,53;94,85
Bulgaria;BGR;2021;1,58;76,025;6877743;95,81034352;5,267;8,56;71,46341463;75,1;68;306;12219,34187;;3542329;3335414;;89;1040;;;3268751;12;;22,05;1,5;42,26;99,62
Croatia;HRV;2021;1,62;;3878981;;7,608;8,1;76,42439024;79,6;73,4;139;17943,41513;;1990335;1888646;;92;1384;;;1724579;4,5;;33,91;0,87;55,65;100
Cyprus;CYP;2021;1,321;66,856;1244188;99,76513248;7,513;9,43;81,203;83,204;79,209;35;32745,83984;;621034;623154;;96;2990;;;667244;4,2;;22,91;1,09;45,6;99,85
Czechia;CZE;2021;1,83;74,214;10505772;97,88292555;2,803;9,4887867;77,22195122;80,5;74,1;235;26822,51419;;5331795;5173976;;94;2498,516602;;;5279722;3,8;;28,04;0,91;49,78;99,82
Denmark;DNK;2021;1,72;88,24;5856733;99,91882718;5,043;10,82;81,40487805;83,3;79,6;195;69268,6518;2,51;2943337;2913397;;97;7382;;;3070703;3,8;;11,98;1,73;35,49;100
Estonia;EST;2021;1,61;69,415;1330932;97,00866426;6,178;7,49057293;76,94390244;81,4;72,7;21;27698,47935;;699703;631228;;90;2094,503174;;;702984;9,2;;24,84;0,96;47,8;100
Finland;FIN;2021;1,46;85,596;5541017;99,63990231;7,606;10,25;81,88536585;84,6;79,3;88;53504,69365;;2803508;2737509;;89;5488;;;2799859;3,5;;22,51;1,14;49,74;100
France;FRA;2021;1,84;81,242;67764304;99,64470644;7,874;12,30787277;82,32439024;85,5;79,3;2249;43671,30841;;35006272;32758032;;96;5380,875;;;31271173;7,4;;10,71;2,97;29,83;100
Georgia;GEO;2021;2,081;59,872;3708610;68,88145941;11,794;8,42;71,694;76,681;66,803;417;5083,606955;;1964929;1743681;;85;417;;;1876551;64;;33,98;1,74;61,89;88,33
Germany;DEU;2021;1,58;77,544;83196078;99,91604275;3,638;12,93412971;80,7902439;83,3;78,4;2339;51426,75037;;42146923;41049155;;91;6626,004883;;;43386527;5;;22,69;1,08;44,95;100
Greece;GRC;2021;1,43;80,038;10569207;98,87963707;14,657;9,17298794;80,08292683;82,9;77,4;268;20310,68248;;5391653;5177554;;99;1845,775635;;;4571642;2,1;;32,43;1,18;54,53;100
Hungary;HUN;2021;1,61;72,245;9709891;99,99999885;4,045;7,38;74,16341463;77,8;70,7;308;18755,10235;6,84;5055557;4654334;;99;1382;;;4920977;3,7;;34,38;1,2;52,93;100
Iceland;ISL;2021;1,82;93,944;372520;100;6,029;9,73;83,16585366;84,6;81,8;9;69252,31124;;181577;190942;;92;6716;;;222391;2,2;;20,39;1,17;47,99;100
Ireland;IRL;2021;1,78;63,912;5033164;95,99583147;6,194;6,71662664;82,35365854;84,3;80,5;164;102001,7982;;2539135;2494029;;94;6764,258789;;;2551560;4,8;;28,92;1,15;60,31;95,41
Italy;ITA;2021;1,25;71,346;59133173;92,71055756;9,497;9,38;82,64634146;84,9;80,5;961;36441,0598;;30312143;28821030;;94;3350;;;25087249;4,6;;19,94;0,99;41,73;99,92
Kazakhstan;KAZ;2021;3,32;57,821;19191356;89,34996923;5,556;3,92;70,23;74,03;66,33;3729;10270,88734;;9963421;9227935;;95;403;;;9402181;71;;17,77;1,97;48,35;91,94
Latvia;LVA;2021;1,57;68,421;1884490;96,8256719;7,513;9,04;72,9804878;78;68,2;51;20930,39824;;1011596;872894;;94;1898;;;956869;16;;27,03;1,53;50,09;98,73
Lithuania;LTU;2021;1,36;68,249;2800839;94,95175037;7,112;7,82;74,03658537;78,8;69,5;78;23849,6157;;1486443;1314395;;90;1859;;;1468048;26;;29,28;0,78;48,73;100
Luxembourg;LUX;2021;1,38;91,672;640064;99,52723298;5,247;5,67;82,59756098;84,8;80,5;15;133711,7944;4,15;317924;322141;;99;7636;;;333257;6,1;;18,06;0,93;42,49;99,88
Malta;MLT;2021;1,13;94,81;518536;99,79004774;3,403;10,58;82,50731707;84,3;80,8;23;34951,70817;;248831;269705;;99;3642;;;282572;12;;32,07;1,33;56,76;100
Moldova;MDA;2021;1,806;42,998;2595809;74,85757103;0,794;7,75;68,846;73,547;64,443;473;5274,605822;5,66;1363630;1232180;;87;410;;;1509428;;;;;;
Montenegro;MNE;2021;1,75;67,826;619211;85,09555958;16,543;10,55;73,82439024;77;70,8;17;9465,96153;;317538;301673;;83;985;;;276234;14;;19,3;1,05;41,69;98,16
Netherlands;NLD;2021;1,62;92,572;17533044;99,9690763;4,21;11,29;81,3097561;83;79,7;602;58727,87055;;8820968;8712076;;95;6539;;;9620091;;;;;;
North Macedonia;MKD;2021;1,6;58,786;1837114;80,41318215;15,801;8,52;73,24634146;75,5;71,1;93;7620,80297;;921149;915965;;81;560;;;834513;11;;29,41;1,27;55,23;97,44
Norway;NOR;2021;1,55;83,323;5408320;98,87739581;4,369;10,08;83,16341463;84,7;81,7;98;93072,89251;;2680087;2728232;;97;9163;;;2965991;3;;18,27;0,84;48,14;100
Poland;POL;2021;1,33;60,075;37747124;88,90617795;3,363;6,44;75,50243902;79,6;71,6;1381;18050,27789;;19493868;18253255;;90;1159;;;18519217;10;;29,24;1,17;51,12;82,21
Portugal;PRT;2021;1,35;66,849;10361831;95,0865778;6,577;11,14;81,37804878;84,4;78,5;217;24661,16649;;5473258;4888573;;99;2747;;;5190888;16;;24,53;1,79;49,31;99,9
Romania;ROU;2021;1,81;54,329;19122059;82,02704009;5,59;6,48;72,8097561;76,6;69,2;1046;14946,62497;;9876919;9245140;;86;963;;;8200518;45;;35,75;1,74;55,31;100
Serbia;SRB;2021;1,52;56,651;6834326;75,04207243;10,061;10,0125246;72,7804878;75,7;70;313;9232,957705;;3558849;3275476;;91;919,1679077;;;3396557;14;;24,09;1,32;40,98;95,38
Slovenia;SVN;2021;1,64;55,427;2108079;98,27432091;4,747;9,48;80,67560976;83,8;77,7;36;29331,0647;;1048601;1059477;;86;2775;;;1045561;4,3;;16,8;0,91;42,74;99,5
Spain;ESP;2021;1,19;81,056;47415794;99,56429638;14,781;10,74003887;83,22926829;86,2;80,4;917;30488,82095;2,94;24178936;23236858;;92;3234,292969;;;23384158;8,1;;17,12;1,19;40,34;100
Sweden;SWE;2021;1,67;88,238;10415811;99,73844577;8,722;11,25;83,05609756;84,9;81,3;233;61417,68088;;5169131;5246680;;98;6901;;;5638697;3,8;;15,19;0,79;41,13;99,59
Switzerland;CHE;2021;1,52;73,996;8704546;96,70000007;5,097;11,80107975;83,75121951;85,8;81,8;306;93446,43445;4,44;4384035;4320511;;96;10897,4502;;;4981500;4,7;;10,92;0,63;29,04;100
Ukraine;UKR;2021;1,16;69,757;43848986;87,76939717;9,834;8,01;69,64780488;74,36;65,16;2372;4827,845703;;23554678;20294308;;78;368;;;20311702;85;;22,03;0,95;53,81;99,7
United Kingdom;GBR;2021;1,56;84,152;67026292;99,81627467;4,826;12,36469936;80,7;82,8;78,7;2472;46869,75906;2,35;33913559;33112733;;93;5738,484863;;;34311328;;;;;;
